"Year","N","Y"
"1998",92,2
"1998",148,8
"1998",125,3
"1998",125,4
"1998",141,7
"1998",138,3
"1998",88,3
"1998",81,1
"1998",131,6
"1998",117,2
"1998",93,2
"1998",124,7
"1998",150,6
"1998",165,6
"1998",82,5
"1998",72,2
"1998",132,5
"1998",130,4
"1998",78,11
"1998",74,2
"1998",39,2
"1998",32,1
"1998",90,2
"1998",86,4
"1998",178,7
"1998",34,1
"1998",131,7
"1998",96,1
"1998",157,5
"1998",62,3
"1998",108,12
"1998",74,3
"1998",104,5
"1998",151,7
"1998",106,2
"1998",103,4
"1998",121,4
"1998",116,5
"1998",145,9
"1998",97,2
"1998",113,6
"1998",82,5
"1998",86,2
"1998",141,5
"1998",93,6
"1998",78,3
"1998",77,4
"1998",89,4
"1998",72,2
"1998",142,8
"1998",45,4
"1998",60,3
"1998",131,5
"1998",111,8
"1998",84,4
"1998",85,2
"1998",140,7
"1998",126,6
"1998",64,5
"1998",65,2
"1998",56,2
"1998",157,3
"1998",162,3
"1998",45,2
"1998",130,7
"1998",49,2
"1998",72,5
"1998",46,1
"1998",127,9
"1998",71,1
"1998",150,7
"1998",41,6
"1998",121,10
"1998",61,3
"1998",36,1
"1998",70,4
"1998",152,3
"1998",72,4
"1998",102,5
"1998",133,5
"1998",68,3
"1998",88,8
"1998",166,7
"1998",131,4
"1998",32,3
"1998",46,2
"1998",93,24
"1998",31,1
"1998",57,6
"1998",69,4
"1998",153,5
"1998",84,5
"1998",106,15
"1998",49,5
"1998",103,4
"1998",70,4
"1998",103,10
"1998",83,4
"1998",75,5
"1998",55,5
"1998",86,9
"1998",90,3
"1998",103,12
"1998",98,4
"1998",64,4
"1998",130,5
"1998",102,8
"1998",107,2
"1998",98,3
"1998",130,2
"1998",98,3
"1998",155,10
"1998",103,7
"1998",101,2
"1998",79,3
"1998",88,4
"1998",78,2
"1998",97,3
"1998",70,3
"1998",69,3
"1998",64,3
"1998",99,5
"1998",70,5
"1998",82,2
"1998",123,2
"1998",133,3
"1998",99,4
"1998",93,1
"1998",97,3
"1998",114,4
"1998",106,3
"1998",136,4
"1998",79,3
"2000",84,5
"2000",143,6
"2000",124,4
"2000",138,8
"2000",137,5
"2000",123,7
"2000",93,1
"2000",74,1
"2000",140,10
"2000",106,6
"2000",73,0
"2000",119,4
"2000",150,8
"2000",155,6
"2000",81,5
"2000",77,2
"2000",129,9
"2000",124,3
"2000",102,26
"2000",76,3
"2000",40,6
"2000",46,3
"2000",73,3
"2000",87,6
"2000",168,8
"2000",37,2
"2000",125,11
"2000",89,4
"2000",141,5
"2000",94,3
"2000",95,7
"2000",84,7
"2000",134,10
"2000",134,5
"2000",97,3
"2000",89,0
"2000",141,10
"2000",120,4
"2000",150,9
"2000",107,4
"2000",140,13
"2000",94,6
"2000",80,6
"2000",100,3
"2000",123,8
"2000",85,3
"2000",86,5
"2000",68,4
"2000",80,4
"2000",118,4
"2000",48,8
"2000",80,4
"2000",129,5
"2000",105,3
"2000",66,6
"2000",92,3
"2000",116,4
"2000",143,13
"2000",54,4
"2000",73,2
"2000",48,7
"2000",137,2
"2000",170,8
"2000",47,3
"2000",120,4
"2000",65,1
"2000",50,6
"2000",42,2
"2000",151,3
"2000",56,4
"2000",176,14
"2000",43,7
"2000",104,9
"2000",47,4
"2000",33,2
"2000",85,7
"2000",148,7
"2000",60,5
"2000",103,2
"2000",133,5
"2000",72,9
"2000",90,2
"2000",152,18
"2000",133,3
"2000",39,0
"2000",49,3
"2000",136,50
"2000",47,3
"2000",48,1
"2000",78,5
"2000",131,5
"2000",90,8
"2000",107,20
"2000",55,7
"2000",90,3
"2000",80,5
"2000",103,7
"2000",56,6
"2000",64,3
"2000",57,6
"2000",100,9
"2000",122,3
"2000",125,12
"2000",96,6
"2000",65,4
"2000",132,4
"2000",97,8
"2000",103,3
"2000",117,8
"2000",86,3
"2000",89,3
"2000",155,3
"2000",91,3
"2000",95,3
"2000",70,5
"2000",93,6
"2000",66,5
"2000",106,1
"2000",72,5
"2000",81,1
"2000",88,3
"2000",79,4
"2000",62,4
"2000",82,2
"2000",119,2
"2000",121,5
"2000",94,2
"2000",64,5
"2000",106,6
"2000",110,4
"2000",117,5
"2000",141,8
"2000",82,2
"2002",101,5
"2002",154,4
"2002",86,2
"2002",136,8
"2002",151,9
"2002",122,4
"2002",94,3
"2002",66,5
"2002",161,10
"2002",113,5
"2002",61,4
"2002",109,7
"2002",139,10
"2002",144,9
"2002",102,5
"2002",79,4
"2002",110,6
"2002",96,5
"2002",142,27
"2002",70,6
